id,title,rating,sentiment,llm_emotion,lexicon_emotion,emotion_agreement,lexicon_scores,matched_words
1,Great gift,5.0,POSITIVE,joy,anticipation,False,"{""anger"": 1, ""anticipation"": 3, ""disgust"": 0, ""fear"": 0, ""joy"": 3, ""sadness"": 0, ""surprise"": 3, ""trust"": 2}",gift money good
2,amazon gift card,5.0,POSITIVE,joy,joy,True,"{""anger"": 1, ""anticipation"": 6, ""disgust"": 1, ""fear"": 0, ""joy"": 7, ""sadness"": 2, ""surprise"": 4, ""trust"": 3}",gift perfect gift disappointed excited perfect late birthday baby
3,perfect gift,5.0,POSITIVE,joy,joy,True,"{""anger"": 0, ""anticipation"": 5, ""disgust"": 0, ""fear"": 0, ""joy"": 7, ""sadness"": 0, ""surprise"": 4, ""trust"": 1}",perfect gift gift hobby gift gift glee
4,Nice looking,5.0,POSITIVE,joy,anticipation,False,"{""anger"": 1, ""anticipation"": 8, ""disgust"": 0, ""fear"": 1, ""joy"": 8, ""sadness"": 1, ""surprise"": 3, ""trust"": 4}",pretty pretty ribbon perfect love shopping ship gift case gift
5,Not $10 Gift Cards,1.0,NEGATIVE,anger,joy,False,"{""anger"": 0, ""anticipation"": 5, ""disgust"": 0, ""fear"": 1, ""joy"": 8, ""sadness"": 1, ""surprise"": 5, ""trust"": 3}",gift gift daughter daughter cashier forgotten gift found receiving gift cover
6,Cute!,5.0,POSITIVE,joy,joy,True,"{""anger"": 0, ""anticipation"": 0, ""disgust"": 0, ""fear"": 0, ""joy"": 1, ""sadness"": 0, ""surprise"": 0, ""trust"": 0}",adorable
7,Easy gift,5.0,POSITIVE,joy,anticipation,False,"{""anger"": 0, ""anticipation"": 2, ""disgust"": 0, ""fear"": 0, ""joy"": 2, ""sadness"": 0, ""surprise"": 2, ""trust"": 0}",gift gift
8,Great gift,5.0,POSITIVE,joy,anticipation,False,"{""anger"": 0, ""anticipation"": 1, ""disgust"": 0, ""fear"": 0, ""joy"": 1, ""sadness"": 0, ""surprise"": 1, ""trust"": 0}",gift
9,Gifts for my two granddaughters,5.0,POSITIVE,joy,joy,True,"{""anger"": 0, ""anticipation"": 0, ""disgust"": 0, ""fear"": 0, ""joy"": 1, ""sadness"": 0, ""surprise"": 0, ""trust"": 0}",love
10,"Great for saying “thank you” to the mail person, farrier, yard man,etc",5.0,POSITIVE,joy,anticipation,False,"{""anger"": 0, ""anticipation"": 1, ""disgust"": 0, ""fear"": 0, ""joy"": 0, ""sadness"": 0, ""surprise"": 0, ""trust"": 0}",mail
11,"Convenient, safe, and perfect gift",5.0,POSITIVE,joy,joy,True,"{""anger"": 0, ""anticipation"": 5, ""disgust"": 0, ""fear"": 0, ""joy"": 6, ""sadness"": 0, ""surprise"": 3, ""trust"": 3}",safe perfect gift gift perfect gift
12,Giftcard,5.0,POSITIVE,trust,anticipation,False,"{""anger"": 0, ""anticipation"": 3, ""disgust"": 0, ""fear"": 0, ""joy"": 3, ""sadness"": 0, ""surprise"": 3, ""trust"": 1}",gift good gift
13,Simple giftcard!,5.0,POSITIVE,trust,anticipation,False,"{""anger"": 1, ""anticipation"": 2, ""disgust"": 0, ""fear"": 0, ""joy"": 2, ""sadness"": 0, ""surprise"": 2, ""trust"": 1}",gift money
14,Great giftcard,5.0,POSITIVE,joy,anticipation,False,"{""anger"": 0, ""anticipation"": 1, ""disgust"": 0, ""fear"": 0, ""joy"": 1, ""sadness"": 0, ""surprise"": 1, ""trust"": 0}",gift
15,Easy..,5.0,POSITIVE,trust,anticipation,False,"{""anger"": 0, ""anticipation"": 1, ""disgust"": 0, ""fear"": 0, ""joy"": 1, ""sadness"": 0, ""surprise"": 1, ""trust"": 1}",shopping
16,One Star,1.0,NEGATIVE,anger,anticipation,False,"{""anger"": 0, ""anticipation"": 1, ""disgust"": 0, ""fear"": 0, ""joy"": 1, ""sadness"": 0, ""surprise"": 0, ""trust"": 1}",star
17,Great Product.,5.0,POSITIVE,joy,anticipation,False,"{""anger"": 0, ""anticipation"": 2, ""disgust"": 0, ""fear"": 0, ""joy"": 1, ""sadness"": 0, ""surprise"": 1, ""trust"": 0}",gift recipient
18,No note attached to sent gift card,5.0,NEGATIVE,sadness,anticipation,False,"{""anger"": 1, ""anticipation"": 8, ""disgust"": 0, ""fear"": 0, ""joy"": 4, ""sadness"": 0, ""surprise"": 3, ""trust"": 1}",gift pretty gift recipient complaint time recipient gift mail
19,Gift card,5.0,POSITIVE,joy,anticipation,False,"{""anger"": 0, ""anticipation"": 2, ""disgust"": 0, ""fear"": 0, ""joy"": 2, ""sadness"": 0, ""surprise"": 1, ""trust"": 1}",gift perfect
20,Good,5.0,POSITIVE,trust,anticipation,False,"{""anger"": 0, ""anticipation"": 3, ""disgust"": 0, ""fear"": 0, ""joy"": 3, ""sadness"": 0, ""surprise"": 3, ""trust"": 2}",good good gift
21,Good Product,5.0,POSITIVE,trust,anticipation,False,"{""anger"": 0, ""anticipation"": 2, ""disgust"": 0, ""fear"": 0, ""joy"": 2, ""sadness"": 0, ""surprise"": 2, ""trust"": 2}",good good
22,Good Product,5.0,POSITIVE,trust,anticipation,False,"{""anger"": 0, ""anticipation"": 2, ""disgust"": 0, ""fear"": 0, ""joy"": 2, ""sadness"": 0, ""surprise"": 2, ""trust"": 2}",good good
23,Good Product,5.0,POSITIVE,trust,anticipation,False,"{""anger"": 0, ""anticipation"": 2, ""disgust"": 0, ""fear"": 0, ""joy"": 2, ""sadness"": 0, ""surprise"": 2, ""trust"": 2}",good good
24,Good Product,5.0,POSITIVE,trust,anticipation,False,"{""anger"": 0, ""anticipation"": 2, ""disgust"": 0, ""fear"": 0, ""joy"": 2, ""sadness"": 0, ""surprise"": 2, ""trust"": 2}",good good
25,Good Product,5.0,POSITIVE,trust,anticipation,False,"{""anger"": 0, ""anticipation"": 2, ""disgust"": 0, ""fear"": 0, ""joy"": 2, ""sadness"": 0, ""surprise"": 2, ""trust"": 2}",good good
26,Good product,5.0,POSITIVE,trust,anticipation,False,"{""anger"": 0, ""anticipation"": 2, ""disgust"": 0, ""fear"": 0, ""joy"": 2, ""sadness"": 0, ""surprise"": 2, ""trust"": 2}",good good
27,Good product,5.0,POSITIVE,trust,anticipation,False,"{""anger"": 0, ""anticipation"": 2, ""disgust"": 0, ""fear"": 0, ""joy"": 2, ""sadness"": 0, ""surprise"": 2, ""trust"": 2}",good good
28,Good Product,5.0,POSITIVE,trust,anticipation,False,"{""anger"": 0, ""anticipation"": 2, ""disgust"": 0, ""fear"": 0, ""joy"": 2, ""sadness"": 0, ""surprise"": 2, ""trust"": 2}",good good
29,Good Product,5.0,POSITIVE,trust,anticipation,False,"{""anger"": 0, ""anticipation"": 2, ""disgust"": 0, ""fear"": 0, ""joy"": 2, ""sadness"": 0, ""surprise"": 2, ""trust"": 2}",good good
30,Good,5.0,POSITIVE,trust,anticipation,False,"{""anger"": 0, ""anticipation"": 2, ""disgust"": 0, ""fear"": 0, ""joy"": 2, ""sadness"": 0, ""surprise"": 2, ""trust"": 2}",good good
31,Gift card,5.0,POSITIVE,joy,anticipation,False,"{""anger"": 0, ""anticipation"": 2, ""disgust"": 0, ""fear"": 0, ""joy"": 2, ""sadness"": 0, ""surprise"": 1, ""trust"": 1}",gift perfect
32,So easy,5.0,POSITIVE,trust,,,"{""anger"": 0, ""anticipation"": 0, ""disgust"": 0, ""fear"": 0, ""joy"": 0, ""sadness"": 0, ""surprise"": 0, ""trust"": 0}",
33,Mistake,2.0,NEGATIVE,anger,sadness,False,"{""anger"": 1, ""anticipation"": 0, ""disgust"": 0, ""fear"": 0, ""joy"": 0, ""sadness"": 2, ""surprise"": 0, ""trust"": 1}",mistake hit mistake credit
