id,source_line,rating,reference,prediction,correct,llm_emotion,lexicon_emotion,emotion_agreement,title,text,matched_words
1,102814,3.0,NEUTRAL,NEGATIVE,False,anger,anticipation,False,Leave yourself time to match gifts to recipients!,"Gift card tin arrived with Santa bag on time. However, the recipient information was tossed in the package without any reference to the actual gifts. Luckily I knew which tag went with which gift, and the gift values weee the same. However, this was a problem for gifts sent directly to recipients. The only gifts which were properly marked were the gift-wrapped items, but even those arrived with extra recipient tags adding to confusion. We should not have to build-a-gift at these prices. Amazon, you can do much better than this!",leave time gift time recipient gift gift problem recipient confusion gift
2,148765,4.0,POSITIVE,POSITIVE,True,joy,anticipation,False,Four Stars,Granddaughter was very happy with it.,happy
3,41362,4.0,POSITIVE,POSITIVE,True,trust,,,Ease of  use.,It is so easy load. No problems at all.,
4,27652,5.0,POSITIVE,POSITIVE,True,joy,anger,False,Always a hit,Great gift,hit gift
5,67518,4.0,POSITIVE,POSITIVE,True,trust,anticipation,False,Four Stars,I liked the design.  It was easy to obtain and didn't need additional gift wrapping.,gift
6,14529,5.0,POSITIVE,POSITIVE,True,joy,joy,True,Excellent,Loved it,excellent
7,49111,5.0,POSITIVE,POSITIVE,True,trust,anticipation,False,Easy gift giving,Nice,gift
8,90351,3.0,NEUTRAL,POSITIVE,False,joy,anticipation,False,Attractive box and good gift for friends,It's always a good gift to thank friends. No other item is better than an Amazon gift card I believe. The gift box is attractive and good appearance.,good gift good gift gift gift good
9,87290,1.0,NEGATIVE,NEGATIVE,True,sadness,anticipation,False,Gift card arrived water damaged,Gift card arrived water damaged even though it was within plastic wrapping. Could not give it as a gift.,gift gift gift
10,47095,1.0,NEGATIVE,NEGATIVE,True,anger,trust,False,Don’t travel with Amazon credits.,I tried to add some funds to purchase a movie and it let me add the funds but not use them to purchase the movies because I was out of the country when attempting this.  So I’ll go back to using Netflix which works wherever I go.,don
11,69248,5.0,POSITIVE,POSITIVE,True,joy,,,Convenient,The presentation tin was very nice.,
12,66453,3.0,NEUTRAL,NEGATIVE,False,anger,anticipation,False,There was zero balance on card! It was supose to be $25.000 gift card!,There was zero balance on gift card! It should have been $25.00. She went to use it and there was supose to be a  card with it and no card to say who was from! This needs to be corrected. .,gift gift
13,137864,3.0,NEUTRAL,NEUTRAL,True,disgust,anticipation,False,Santa Gift Card Box,"Great gift card presentation device.  However, the paint on edges of the lids was marred/chipped.  Ordered replacements still not perfect.",gift gift perfect
14,29776,1.0,NEGATIVE,NEGATIVE,True,sadness,anticipation,False,damaged,"Bought this as a gift for my grandson's birthday.  The gift card looks OK, but the Happy Birthday gift card holder was ripped and looks awful.  I'll have to tape it together, which will make for a lousy presentation.  Disappointing.",gift birthday gift happy birthday gift awful disappointing
15,31152,5.0,POSITIVE,POSITIVE,True,joy,anticipation,False,Five Stars,Great gift,gift
16,126733,3.0,NEUTRAL,NEUTRAL,True,sadness,anticipation,False,Great idea for a grad...,Ordered 2...one was fine the other damaged.  I am sure the recent grad wont care...just frustrating.,wont
17,32438,5.0,POSITIVE,POSITIVE,True,trust,joy,False,Gift card,Excellent seller and product,gift excellent
18,63279,1.0,NEGATIVE,NEGATIVE,True,sadness,anger,False,Box was crushed.,The box was in terrible shape. I could not use it with the gift card.🙁,crushed terrible gift
19,22975,5.0,POSITIVE,POSITIVE,True,surprise,anticipation,False,Great for spending. Not great for sinking in jello,"I put this gift card in jello for my sisters-in-laws birthday... the tin floats. Man did i not see that coming. If you buy this to put it in jello, maybe get some rocks for the inside. Otherwise it will float. Clearly a stapler is easier to use. The card spends great tho! Highly recommend if you don’t need to put in jello... also still recommend if you do need to put it in jello.",gift birthday coming recommend don recommend
20,147566,5.0,POSITIVE,POSITIVE,True,joy,anticipation,False,Gift card,Awesome,gift
21,18871,1.0,NEGATIVE,NEGATIVE,True,anger,trust,False,Don’t expect this card to function like a typical Visa,Don’t buy this card. This card doesn’t work with Apple Wallet (cannot get added). It doesn’t work at gas station either. I ended up adding it back to my Amazon account.,don expect don account
22,132501,1.0,NEGATIVE,NEGATIVE,True,sadness,,,One card was empty,I have them as gifts but one card has nothing on it,
23,12466,3.0,NEUTRAL,POSITIVE,False,trust,anticipation,False,Good value,Good value,good good
24,43306,5.0,POSITIVE,POSITIVE,True,joy,anticipation,False,Five Stars,Perfect gift for anyone.,perfect gift
25,102765,3.0,NEUTRAL,POSITIVE,False,trust,anticipation,False,Good,Ok,good
26,86392,1.0,NEGATIVE,NEGATIVE,True,disgust,anticipation,False,There's truly little reason to buy a Fandango gift card ...,There's truly little reason to buy a Fandango gift card.  About 20% of it goes to &#34;Convenience Fees&#34;.  Just buy a gift card to the theater directly.,gift gift gift
27,132751,1.0,NEGATIVE,NEGATIVE,True,anger,trust,False,"DON'T BUY, UNUSABLE","Worthless, can't be used towards any type of special spotify account (Student, family etc.).<br /><br />Also couldn't be returned after I discovered this trap.<br /><br />Spotify are a bunch of blood sucking leeches who deserve more 1 star ratings for this. I'm literally canceling my own spotify premium and switching to Pandora just because of this putrid experience.",worthless special account leeches deserve star
28,84579,5.0,POSITIVE,POSITIVE,True,joy,anticipation,False,Hassle free Christmas,I’m happy with my purchase. It made giving Christmas gifts so much easier to just buy this gift card online and get it delivered to my family member. This made my life so much easier and I’m glad I didn’t have to go out into traffic to get it.,happy gift glad
29,128934,3.0,NEUTRAL,NEGATIVE,False,sadness,,,Three Stars,This tin came all dented.,
30,131243,3.0,NEUTRAL,NEUTRAL,True,disgust,trust,False,Beautiful box for presentation.,"Kind of hard to open, would prefer it to open on the top.?",beautiful kind prefer top
31,124705,1.0,NEGATIVE,NEGATIVE,True,anger,trust,False,"Amazon, really,  you can do better than this!!","It is a rip off!  I should have read the reviews.  Amazon, really, you can do better than this.... my trust level for your company just went down.  This is the second time this month I have bought a non returnable item from Amazon.",trust level time
32,105657,1.0,NEGATIVE,NEGATIVE,True,anger,anticipation,False,Scam,"Do not buy.  If you search gift car this comes up.  Thought I was buying 500 gift card to give away, instead it put it on my account.  I dealt with amazon chat and was told they are unable to return it or take it back and that I would have to purchase another gift card.  So I went and got my actual gift card went to checkout.... cannot use gift card balance to buy a gift card.  Ridiculous amazon cannot undo this purchase",gift thought gift account unable gift gift gift gift ridiculous
33,64683,3.0,NEUTRAL,NEGATIVE,False,surprise,disgust,False,misleading,"Figured out that this whole mess was because there were more than a card in some of the boxes (one worked, the other not).",misleading mess
34,23069,1.0,NEGATIVE,NEGATIVE,True,sadness,joy,False,Love the iTunes but no good 😢,"The numbers & letters is wrong I want a new<br />$200.00 card. Because the one I have look like someone had used it. I scratch it off but someone<br />knew the numbers, letters I was the one scratch it off",love good
35,48445,5.0,POSITIVE,POSITIVE,True,trust,trust,True,an easy way to add money to my account,a thumbs up,money account
36,91556,3.0,NEUTRAL,NEUTRAL,True,sadness,anticipation,False,OK Gift Card,OK Gift Card but the package was damaged,gift gift
37,17623,5.0,POSITIVE,POSITIVE,True,joy,joy,True,Cute Box,Who doesn't love an amazon card,love
38,35757,3.0,NEUTRAL,NEUTRAL,True,surprise,anticipation,False,Almost threw it in the trash! Needs better labeling on outside envelope.,"I love Amazon and shop continuously on it.  I bought a gift card for my mom for Xmas and the tracking info actually said I would get it one day earlier than the other products I ordered at the same time.  So when a non descript sealed envelope came in a box with something else I tossed it on the counter thinking it was junk mail like so many other companies send with their products.  I actually forgot about the GC as I expected it to come snail mail solo.  So this envelope sat for a few days and as I was tossing it into the recycle bin I decided to tear it open.  What to my surprise was inside but another envelope, the holiday card and gift card.  Wow was I surprised.  Since the outside envelope is just packaging it should be better labeled as to the contents.",trash love gift time mail expected mail surprise holiday gift surprised
39,136513,5.0,POSITIVE,POSITIVE,True,joy,anticipation,False,Very nice.,Arrived next day. Cool little tin. People really liked the packaging. Nice addition to the standard gift card. Definitely will buy again.,gift
40,9320,3.0,NEUTRAL,NEUTRAL,True,disgust,,,Need be more Attractive!!!,Can be a little more attractive for kids.,
41,66678,5.0,POSITIVE,POSITIVE,True,trust,anticipation,False,Fast and easy.,A last minute gift for Christmas.,gift
42,94271,5.0,POSITIVE,POSITIVE,True,trust,anticipation,False,gift card,It makes it quick and easy when I add money for my in app purchases,gift money
43,11101,3.0,NEUTRAL,POSITIVE,False,trust,anticipation,False,Gift card,Easy to use and reload,gift
44,123544,5.0,POSITIVE,POSITIVE,True,joy,anticipation,False,Loved how easy it is to use,It was super easy to top up and super giftable,top
45,113096,2.0,NEGATIVE,NEGATIVE,True,fear,,,how,dont know  when to reload..never comes up how to use and reload..am i getting my moneys worth as i don't know..no feed back on this,
46,98185,3.0,NEUTRAL,NEGATIVE,False,sadness,joy,False,not unusually,"unlike nothing, it was not special , I brought these for my spouse, he said the food was better in NJ",special spouse food
47,33987,1.0,NEGATIVE,NEGATIVE,True,anger,trust,False,Auto-Renewal caused a big problem,"Even though the price was great, I can't recommend purchasing Office 365 through Amazon.  Cancelling the auto-renewal was easy but in the eyes of MS, my office account was locked to Amazon.  Took lengthy phone calls with MS support over several weeks to resolve.",problem recommend account calls
48,66165,3.0,NEUTRAL,NEUTRAL,True,sadness,anticipation,False,"It's not the product, it's how the package was handled/delivered",The gift cards are great. The only reason for the 3star review is how I got my package.... All of the tin Santa cases for the gift cards are all dented... The package I received had over 9 delivery stickers on it and was delayed for more than 6 days. There was no weather problems during those days....,gift star gift delivery
49,11607,3.0,NEUTRAL,NEUTRAL,True,trust,anticipation,False,As expected,As expected,expected expected
50,144676,5.0,POSITIVE,POSITIVE,True,joy,trust,False,Five Stars,"real benefits, thanks",real
51,72345,5.0,POSITIVE,POSITIVE,True,joy,,,Thank,Thank,
52,52979,5.0,POSITIVE,POSITIVE,True,joy,anticipation,False,Awesome,Great deal,deal
53,150017,5.0,POSITIVE,POSITIVE,True,joy,anticipation,False,Very cute!,Very cute and arrived on time.,time
54,97409,5.0,POSITIVE,POSITIVE,True,trust,trust,True,"Easy to load, was what I needed to complete a transaction","I was reminded that I can reload this card to help complete a purchase that I was short of only 50 cents. It loads money in an instant, and I was able to complete the transaction to receive item the very next day. I would like to thank the rep who reminded me I can do this, because I was frustrated and would have simply cancelled my order.",transaction money transaction frustrated
55,135748,3.0,NEUTRAL,NEGATIVE,False,anger,anticipation,False,Why don’t you include the amount?!,I read reviews that the total wouldn’t be on the cards. I was fine with it. Until I learned I’d have to scratch every gift card code on the back to figure out the totals. Now they look used and have to give them to my kids teachers. Ridiculous. I’d imagine these are pretty loaded In the warehouse waiting to go out? Put the amount on the plastic bag they come in. It’s really not that complicated.,don gift ridiculous pretty
56,141586,5.0,POSITIVE,POSITIVE,True,joy,,,Great,Great.,
57,94183,5.0,POSITIVE,POSITIVE,True,trust,joy,False,Reloading my balance,"Love this site,never have any problems reloading.  Thank you.  C",love
58,57342,1.0,NEGATIVE,NEGATIVE,True,anger,anticipation,False,Never received $5. bonus promised when purchased.,"Hi,  First, I never received the $5. bonus that I was supposed to get in November.  Second, I purchased these as Christmas gifts and because of all the reviews from people who had problems cashing the cards in, I was afraid to give them to anyone else.  I ended up applying all 3 cards to my own Amazon account.  Thank goodness they all worked but I couldn't use them as gifts.  Third, the area on the back that you are supposed to &#34;scratch&#34; off was very difficult to remove and on one card, one of the letters beneath it was almost removed as well.  I had to try a couple of times before I got the right letter & the card finally was approved.  I would not take a chance on an &#34;offer&#34; like this from Amazon again.",bonus bonus afraid account goodness difficult remove letter finally chance
59,88278,1.0,NEGATIVE,NEGATIVE,True,sadness,anticipation,False,Mystery Gift,My daughter was gifted a card and has no way to determine value without redeeming!,mystery gift daughter
60,151039,1.0,NEGATIVE,NEGATIVE,True,anger,anticipation,False,One Star,This card was not activated for use. Could not return it.,star
61,148302,3.0,NEUTRAL,POSITIVE,False,joy,anticipation,False,Oh boy!,Good stuff.,boy good
62,121634,5.0,POSITIVE,POSITIVE,True,joy,joy,True,$100 Amazon gift card,Excellent!  Design was nice,gift excellent
63,119798,1.0,NEGATIVE,NEGATIVE,True,anger,anticipation,False,One Star,i couldnt pre-order mp3 album with it,star
64,83032,5.0,POSITIVE,NEUTRAL,False,trust,anticipation,False,Gift cards are neat,They're gift cards. Woohoo you payed to put money on a card. I know I did it. It was for good reason though.,gift gift money good
65,112404,1.0,NEGATIVE,NEGATIVE,True,anger,anticipation,False,Complete disregard to product quality.,"What a cutesy design on the product's page, right? I ordered this birthday one, and a graduation one. The graduation one was perfect; 5 stars, presentation, container, etc. This birthday one however, wasn't.<br /><br />They shipped it, WITHOUT THE OTHER CUPCAKE HALF.<br /><br />Someone shoved this half baked birthday card inside a brown envelope alongside a perfectly done one, and said ""Yep, this is fine!""",birthday graduation graduation perfect birthday birthday
66,3319,3.0,NEUTRAL,NEUTRAL,True,sadness,anticipation,False,I gave these as christmas gifts to my nieces and ...,I gave these as christmas gifts to my nieces and nephews. They appreciated the gift and credit card of their own feel. Unfortunately Auntie was expected to take them to the movies and provide a meal with this gift.,gift credit expected provide gift
67,132469,1.0,NEGATIVE,NEGATIVE,True,anger,anger,True,HORRIBLE GIFT CARD,CUSTOMER SERVICE IS TERRIBLE,horrible gift terrible
68,46714,3.0,NEUTRAL,NEUTRAL,True,trust,,,works but could be simpler,works but could be simpler to use,
69,110851,1.0,NEGATIVE,NEGATIVE,True,anger,anger,True,Card was not activated,"The card was not activated and by the time the person I sent it tried to use it, the card was declined and Amazon has no option to return it. I called the number on the back of the Visa card and was directed back to Amazon. $105 wasted.",time wasted
