id,title,text,rating,reference,prediction,correct
1,Great gift,Having Amazon money is always good.,5.0,POSITIVE,POSITIVE,True
2,amazon gift card,Always the perfect gift.  I have never given one and had someone seem or act disappointed.  Just the opposite.  They are thrilled and excited to have a bit of a spree.  Always the perfect size and color!  Arrives in 1 day in most cases.  So it's never too late!  Lots of cards to chose from... thank you... birthday... wedding..baby..  and many that work for many occasions...,5.0,POSITIVE,POSITIVE,True
3,perfect gift,When you have a person who is hard to shop for.. an amazon gift card is P E R F E C T.  Man or woman...  No matter what their hobby... lifestyle.. or age.  All you have to do is pick the $.  Don't forget to mention that it is a GIFT when you check out - you will have some gift card options.  I've ordered many of these over years.  They are always received with glee.  Woo hoo!  If you're looking for a great fit for me - this is just my size!  :)  Best to all!,5.0,POSITIVE,POSITIVE,True
4,Nice looking,"The tin is a nice touch and pretty large.  It's about 4&#34; in diameter and about 1/2&#34; thick.  I added a pretty red ribbon and it is perfect.  Who doesn't love shopping on Amazon? Arrived quickly, I have Prime... but I think they ship the gift cards out SUPER fast... like over night. In case you need it for a FAST gift.",5.0,POSITIVE,POSITIVE,True
5,Not $10 Gift Cards,"I bought this pack of Starbucks Gift cards in 2019. Ive given them to friends and I gave 2 to my daughter.<br />My daughter used one recently and it had $6.52 on the card not $10.00. She had the cashier check the balance of the other card and it had $5.32 on it! She had forgotten that she had these gift cards, so yes, 2 years later decided to use the when she found them! Do they decline in value? And then both had random amounts on them! I'm embarrassed now to have given them as gifts! Friends receiving the gift card aren't going to tell you that weren't able to cover their order with the card you gave them!!!",1.0,NEGATIVE,NEGATIVE,True
6,Cute!,That snowman tin is adorable,5.0,POSITIVE,POSITIVE,True
7,Easy gift,Great and easy gift,5.0,POSITIVE,POSITIVE,True
8,Great gift,Super cute nice quality tin<br />Your choose amount,5.0,POSITIVE,POSITIVE,True
9,Gifts for my two granddaughters,They love it !!,5.0,POSITIVE,POSITIVE,True
10,"Great for saying “thank you” to the mail person, farrier, yard man,etc",So many people<br />Make your life better so remember them!,5.0,POSITIVE,POSITIVE,True
11,"Convenient, safe, and perfect gift","My grandson inlaw loves his gift cards, so it's the perfect gift for Christmas",5.0,POSITIVE,POSITIVE,True
12,Giftcard,"What can you say about a gift card? Well, it was valid. It's a good gift for someone who doesn't like to cook. Arrived promptly.",5.0,POSITIVE,POSITIVE,True
13,Simple giftcard!,Easy way to gift money for birthdays.,5.0,POSITIVE,POSITIVE,True
14,Great giftcard,Great gift for online shoppers!,5.0,POSITIVE,POSITIVE,True
15,Easy..,Reloading is easy. Shopping is easy. Amazon is easy.,5.0,POSITIVE,POSITIVE,True
16,One Star,Card did not work!!!!,1.0,NEGATIVE,NEGATIVE,True
17,Great Product.,I bought this for a Christmas gift.The recipient really liked it.,5.0,POSITIVE,POSITIVE,True
18,No note attached to sent gift card,"What a pretty gift card presentation , the recipient loved it ! I have one complaint , I took the time and wrote a short note to the recipient of the gift card so she knew who and why the GC was being sent but the note wasn’t attached. I’ve used the option to write a note on many occasions and several times it showed up without the note . I actually had to contact her to ask if she had checked her mail knowing it had arrived .",5.0,POSITIVE,NEGATIVE,False
19,Gift card,Perfect! Arrived just when stated!,5.0,POSITIVE,POSITIVE,True
20,Good,Good gift card,5.0,POSITIVE,POSITIVE,True
21,Good Product,Good Product,5.0,POSITIVE,POSITIVE,True
22,Good Product,Good Product,5.0,POSITIVE,POSITIVE,True
23,Good Product,Good Product,5.0,POSITIVE,POSITIVE,True
24,Good Product,Good Product,5.0,POSITIVE,POSITIVE,True
25,Good Product,Good Product,5.0,POSITIVE,POSITIVE,True
26,Good product,Good product,5.0,POSITIVE,POSITIVE,True
27,Good product,Good product,5.0,POSITIVE,POSITIVE,True
28,Good Product,Good Product,5.0,POSITIVE,POSITIVE,True
29,Good Product,Good Product,5.0,POSITIVE,POSITIVE,True
30,Good,Good,5.0,POSITIVE,POSITIVE,True
31,Gift card,Perfect for Christmas,5.0,POSITIVE,POSITIVE,True
32,So easy,Easy to do,5.0,POSITIVE,POSITIVE,True
33,Mistake,Hit button by mistake n deduction from credit card on file,2.0,NEGATIVE,NEGATIVE,True
34,Great gift idea,Always great to order from my home. Amazon rocks!,5.0,POSITIVE,POSITIVE,True
35,Secure,So easy to use and recipients get to choose how to use it.,5.0,POSITIVE,POSITIVE,True
36,Birthday surprise!,This was a good birthday surprise!,5.0,POSITIVE,POSITIVE,True
37,Birthday Gift,"Have given as Holiday, Birthday & Other Occasions remembrances. Always appreciated by the person receiving.",5.0,POSITIVE,POSITIVE,True
38,Fun,Awesome & they work,5.0,POSITIVE,POSITIVE,True
39,Reload is super easy.,Really ready to reload gift cards.,5.0,POSITIVE,POSITIVE,True
40,Convenience of giftabiliy.,A great way to give a gift to family members in physical form. It was so convenient.,5.0,POSITIVE,POSITIVE,True
41,Great Gift Package,Nice gift packaging for any event,5.0,POSITIVE,POSITIVE,True
42,Grest Sandwitches !!,Perfect and I even used Amazon Points - was mailed right out.,5.0,POSITIVE,POSITIVE,True
